spotify_track_uri,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,date,time,hour,time_of_day,text_features,recommended_tracks
4joiWvli4qJVEW6qZV2i2J,android,1114,All My Loving - Remastered 2009,The Beatles,With The Beatles,fwdbtn,fwdbtn,True,False,2020-01-21,05:40:00,5,Morning,All My Loving - Remastered 2009 The Beatles,"All My Loving - Remastered 2009, All My Loving - Remastered 2009, All My Loving - Remastered 2009, Here, There And Everywhere - Remastered 2009, Because - Remastered 2009, Two Of Us - Remastered 2009, You Can't Do That - Remastered 2009, Something - Remastered 2009, Back In The U.S.S.R. - Remastered 2009, I Call Your Name - Remastered 2009"
7MRn6wgG0ReDRNYV5wJeGX,android,367813,In Repair,John Mayer,Continuum,trackdone,trackdone,True,False,2017-04-20,19:04:00,19,Evening,In Repair John Mayer,"In Repair, In Repair, In Repair, In Repair, In Repair, In Repair - Acoustic, In Repair - Acoustic, In the Blood, In the Blood, In the Blood"
66FSV5dLK5sNLZ00IfHxfD,android,141600,Bad Moon Rising,Creedence Clearwater Revival,Green River,trackdone,trackdone,False,False,2017-12-21,06:37:00,6,Morning,Bad Moon Rising Creedence Clearwater Revival,"Bad Moon Rising, Bad Moon Rising, Bad Moon Rising, Bad Moon Rising, Before You Accuse Me, Before You Accuse Me, Before You Accuse Me, Lodi, Lodi, Long As I Can See The Light"
5c9XrZ3UelLFN4tqYieuxV,android,0,Who Am I? – The Trial,Les Misérables - 10th Anniversary Concert Cast,Les Misérables (In Concert at the Royal Albert Hall),fwdbtn,fwdbtn,True,False,2017-04-18,04:53:00,4,Late Night,Who Am I? – The Trial Les Misérables - 10th Anniversary Concert Cast,"Who Am I? – The Trial, One Day More!, Stars, Encore 2 – One Day More, Encore 2 – One Day More, Do You Hear the People Sing?, Do You Hear the People Sing?, Valjean's Soliloquy, The Wedding Chorale / Beggars At the Feast, The Wedding Chorale / Beggars At the Feast"
2ZLo5iUk04ukDPjuLyTQXQ,android,42633,"Dear Wack! - Live At The BBC For ""Saturday Club"" / 24th August, 1963",The Beatles,Live At The BBC,trackdone,trackdone,False,False,2018-09-27,01:11:00,1,Late Night,"Dear Wack! - Live At The BBC For ""Saturday Club"" / 24th August, 1963 The Beatles","I Got A Woman - Live At The BBC For ""Pop Go The Beatles"" / 13th August, 1963, Memphis, Tennessee - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963, Dear Prudence - Remastered 2009, Martha My Dear - Remastered 2009, Martha My Dear - Remastered 2009, Martha My Dear - Remastered 2009, Dear Prudence - Remastered 2009, Dear Prudence - Remastered 2009, Dear Marie, Dear Marie"
5MioNZQ4wXy46ePsXjZL7S,android,1960,Se Te Olvidó,Lucah,Voy a Ti,fwdbtn,fwdbtn,True,False,2018-08-08,05:28:00,5,Morning,Se Te Olvidó Lucah,"Se Me Olvidó Otra Vez - Unplugged; 2020 Remasterizado, A Escondidas, Pasaporte, A Escondidas, Pasaporte, Se a Cabo, Afortunado, Ayúdame, Me Gustas Tú, Me Gustas Tú"
2EjXfH91m7f8HiJN1yQg97,android,126266,Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,trackdone,trackdone,False,False,2024-11-20,17:27:00,17,Evening,Rockin' Around The Christmas Tree Brenda Lee,"What You Don't Want Me to Be, The Cowboys' Christmas Ball, The Cowboys' Christmas Ball, The Cowboys' Christmas Ball, All I Want for Christmas Is You, Have Yourself a Merry Little Christmas, Christmas (Baby Please Come Home), Have Yourself A Merry Little Christmas, Have Yourself A Merry Little Christmas - Remastered 1999, It's Beginning to Look a Lot Like Christmas"
09Lv5rSTrlaGvx43Lq5fmM,mac,238626,Tomorrow Never Comes,Zac Brown Band,JEKYLL + HYDE,trackdone,trackdone,True,False,2024-06-19,01:30:00,1,Late Night,Tomorrow Never Comes Zac Brown Band,"Tomorrow Never Comes, Tomorrow Never Comes, Tomorrow Never Comes, Tomorrow Never Comes - (Acoustic Version), Keep Me in Mind, Keep Me in Mind, The Muse, The Muse, The Muse, The Muse"
3skn2lauGk7Dx6bVIt5DVj,android,766,Starlight,Muse,Black Holes and Revelations,clickrow,endplay,False,False,2017-05-23,23:24:00,23,Night,Starlight Muse,"Starlight, Dig Down, Dig Down, Dig Down, Dig Down, Uprising, Uprising, The Handler, Propaganda, Madness"
5Hroj5K7vLpIG4FNCRIjbP,android,782,Best Day Of My Life,American Authors,"Oh, What A Life",fwdbtn,fwdbtn,True,True,2023-01-30,00:32:00,0,Late Night,Best Day Of My Life American Authors,"Best Day Of My Life, What We Live For, Nothing Better, Nothing Better, Pride, Go Big Or Go Home, Go Big Or Go Home, I'm Born To Run, I'm Born To Run, Pocket Full Of Gold"
2jdAk8ATWIL3dwT47XpRfu,android,158754,Slow Dancing in a Burning Room,John Mayer,Continuum,trackdone,logout,True,False,2023-01-16,23:05:00,23,Night,Slow Dancing in a Burning Room John Mayer,"Slow Dancing in a Burning Room, Slow Dancing in a Burning Room, Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007, Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007, Dancing in My Room, Slow Down - Remastered 2009, Slow Down - Remastered 2009, Burning Love, Burning Love, Little Room"
7LVHVU3tWfcxj5aiPFEW4Q,android,295533,Fix You,Coldplay,X&Y,trackdone,trackdone,True,False,2021-12-23,10:03:00,10,Morning,Fix You Coldplay,"Fix You, Up&Up, Up&Up, Up with the Birds, Paradise, Yellow, Yellow, In My Place, Magic, Hypnotised"
4MflGTO2ZTcSQ12bWcyRgI,android,1200,"Honey, I'm Good.",Andy Grammer,Magazines Or Novels,fwdbtn,fwdbtn,True,True,2023-06-10,02:24:00,2,Late Night,"Honey, I'm Good. Andy Grammer","Fine by Me, Fine By Me, Honey Don't - Remastered 2009, Honey Don't - Remastered 2009, Honey Don't - Remastered 2009, Honey Don't - Remastered 2009, Andy, You're A Star, Good For You, Honey Pie - Remastered 2009, Honey Slider"
6lEuFGrUqR9Yc6hSsHPnYP,android,23,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,I Don't Want To Miss A Thing EP,fwdbtn,fwdbtn,True,False,2021-04-21,02:27:00,2,Late Night,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack Aerosmith","I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon"", Dream On, Dream On, Dream On, Dream On, I Still Miss Someone, I Don't Want To Spoil The Party - Remastered 2009, I Don't Want To Spoil The Party - Remastered 2009, I Don't Want To Spoil The Party - Remastered 2009, What You Don't Want Me to Be"
0CETmgFGt8Ne8vLnaLcduU,android,250133,Queen of California,John Mayer,Born and Raised,trackdone,trackdone,True,False,2024-03-02,18:01:00,18,Evening,Queen of California John Mayer,"Queen of California, Leaving California, The March Of The Black Queen - Remastered 2011, Going to California - Remaster, In the Blood, In the Blood, In the Blood, In the Blood, In the Blood, In the Blood"
